severity,graphicId,displayName,usage,maps,impact,category,suggested,confidence,hasPreview,classicAssetPath,sourceTexturePath,sourceExt,sourceExists,sourceLoadsAsTexture,cropValid,cropInsideTexture,fallbackCandidates,issues,classificationReason
"WARNING",6219,"GRH 6219 (sin textura)",10,5,135,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",6222,"GRH 6222 (sin textura)",10,5,135,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",6223,"GRH 6223 (sin textura)",10,5,135,"Unclassified","Unclassified",0.150,0,"","","",0,0,0,1,0,"NO_CLASSIC_SPRITE|NO_SOURCE_TEXTURE_PATH|INVALID_CROP_DIMENSIONS","No se pudo analizar el sprite."
"WARNING",6356,"GRH 6356 (tex_6215.png)",10,5,135,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6356.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.93, sat 0.73"
"WARNING",60972,"GRH 60972 (tex_5087.png)",10,5,135,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_60972.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.94, sat 0.55"
"WARNING",60976,"GRH 60976 (tex_5087.png)",10,5,135,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_60976.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.94, sat 0.52"
"WARNING",60980,"GRH 60980 (tex_5087.png)",10,5,135,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_60980.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5087.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.94, sat 0.55"
"WARNING",6528,"GRH 6528 (tex_6215.png)",9,5,134,"Grass","Grass",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6528.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio verde 0.80, sat 0.71"
"WARNING",6529,"GRH 6529 (tex_6215.png)",9,5,134,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6529.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.90, sat 0.49"
"WARNING",6532,"GRH 6532 (tex_6215.png)",9,5,134,"Dirt","Dirt",1.000,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6532.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,0,0,1,"INVALID_CROP_DIMENSIONS","Predominio marrón 0.89, sat 0.49"
